conversation_id,user_query,intent,timestamp,usage,price_max,features,colors,brand
train_0000,Best hookah for home,usage_search,2025-08-02 02:21:29.857366,"['home', 'travel', 'party', 'outdoor']",,,,
train_0001,Portable black hookah under 4000 rupees,combination_search,2025-08-02 02:21:29.857366,,"[2000, 3000, 4000]",['portable'],"['black', 'blue', 'red']",
train_0002,What's your best hookah?,general_recommendation,2025-08-02 02:21:29.859949,,,,,
train_0003,LED hookah for home use around 5000,combination_search,2025-08-02 02:21:29.859949,['home'],"[2000, 3000, 4000, 5000]",['led'],,
train_0004,Show me MYA hookahs,brand_search,2025-08-02 02:21:29.859949,,,,,['MYA']
train_0005,Portable blue hookah under 2000 rupees,combination_search,2025-08-02 02:21:29.860256,,"[2000, 3000, 4000]",['portable'],"['black', 'blue', 'red']",
train_0006,Show me hookahs with LED lights,feature_search,2025-08-02 02:21:29.860256,,,['led'],,
train_0007,Show me hookahs with LED lights,feature_search,2025-08-02 02:21:29.860256,,,['led'],,
train_0008,I need a portable hookah for travel,feature_search,2025-08-02 02:21:29.860256,,,['portable'],,
train_0009,I need a hookah for car trips,usage_search,2025-08-02 02:21:29.860256,['travel'],,['portable'],,
train_0010,I want an unbreakable hookah,feature_search,2025-08-02 02:21:29.860256,,,['unbreakable'],,
train_0011,Show me hookahs with LED lights,feature_search,2025-08-02 02:21:29.860256,,,['led'],,
train_0012,LED hookah for home use around 2000,combination_search,2025-08-02 02:21:29.860682,['home'],"[2000, 3000, 4000, 5000]",['led'],,
train_0013,I want a hookah under 1500 rupees,budget_search,2025-08-02 02:21:29.860682,,"[1000, 1500, 2000, 2500, 3000, 5000]",,,
train_0014,Show me MYA hookahs,brand_search,2025-08-02 02:21:29.860682,,,,,['MYA']
train_0015,I want a hookah under 1000 rupees,budget_search,2025-08-02 02:21:29.860903,,"[1000, 1500, 2000, 2500, 3000, 5000]",,,
train_0016,Portable black hookah under 3000 rupees,combination_search,2025-08-02 02:21:29.860980,,"[2000, 3000, 4000]",['portable'],"['black', 'blue', 'red']",
train_0017,Show me hookahs with LED lights,feature_search,2025-08-02 02:21:29.860980,,,['led'],,
train_0018,What's your best hookah?,general_recommendation,2025-08-02 02:21:29.860980,,,,,
train_0019,I need a hookah for car trips,usage_search,2025-08-02 02:21:29.860980,['travel'],,['portable'],,
train_0020,I want a hookah under 2500 rupees,budget_search,2025-08-02 02:21:29.860980,,"[1000, 1500, 2000, 2500, 3000, 5000]",,,
train_0021,Show me MYA hookahs,brand_search,2025-08-02 02:21:29.860980,,,,,['MYA']
train_0022,I want a hookah under 2000 rupees,budget_search,2025-08-02 02:21:29.860980,,"[1000, 1500, 2000, 2500, 3000, 5000]",,,
train_0023,LED hookah for home use around 5000,combination_search,2025-08-02 02:21:29.860980,['home'],"[2000, 3000, 4000, 5000]",['led'],,
train_0024,LED hookah for home use around 2000,combination_search,2025-08-02 02:21:29.860980,['home'],"[2000, 3000, 4000, 5000]",['led'],,
train_0025,Portable red hookah under 3000 rupees,combination_search,2025-08-02 02:21:29.860980,,"[2000, 3000, 4000]",['portable'],"['black', 'blue', 'red']",
train_0026,Show me MYA hookahs,brand_search,2025-08-02 02:21:29.860980,,,,,['MYA']
train_0027,What's the cheapest hookah you have?,budget_search,2025-08-02 02:21:29.860980,,[1000],,,
train_0028,I want an unbreakable hookah,feature_search,2025-08-02 02:21:29.860980,,,['unbreakable'],,
train_0029,I need a portable hookah for travel,feature_search,2025-08-02 02:21:29.860980,,,['portable'],,
train_0030,Show me hookahs with LED lights,feature_search,2025-08-02 02:21:29.860980,,,['led'],,
train_0031,Portable blue hookah under 3000 rupees,combination_search,2025-08-02 02:21:29.860980,,"[2000, 3000, 4000]",['portable'],"['black', 'blue', 'red']",
train_0032,Recommend me a good hookah,general_recommendation,2025-08-02 02:21:29.860980,,,,,
train_0033,I need a portable hookah for travel,feature_search,2025-08-02 02:21:29.860980,,,['portable'],,
train_0034,What's your best hookah?,general_recommendation,2025-08-02 02:21:29.860980,,,,,
train_0035,Portable blue hookah under 3000 rupees,combination_search,2025-08-02 02:21:29.860980,,"[2000, 3000, 4000]",['portable'],"['black', 'blue', 'red']",
train_0036,Show me hookahs with LED lights,feature_search,2025-08-02 02:21:29.860980,,,['led'],,
train_0037,Recommend me a good hookah,general_recommendation,2025-08-02 02:21:29.860980,,,,,
train_0038,Recommend me a good hookah,general_recommendation,2025-08-02 02:21:29.860980,,,,,
train_0039,What's your best hookah?,general_recommendation,2025-08-02 02:21:29.860980,,,,,
train_0040,I need a hookah for car trips,usage_search,2025-08-02 02:21:29.860980,['travel'],,['portable'],,
train_0041,Recommend me a good hookah,general_recommendation,2025-08-02 02:21:29.860980,,,,,
train_0042,Best hookah for travel,usage_search,2025-08-02 02:21:29.860980,"['home', 'travel', 'party', 'outdoor']",,,,
train_0043,Show me budget friendly hookahs,budget_search,2025-08-02 02:21:29.860980,,[2000],,,
train_0044,Do you have any acrylic hookahs?,feature_search,2025-08-02 02:21:29.860980,,,['acrylic'],,
train_0045,Show me hookahs with LED lights,feature_search,2025-08-02 02:21:29.860980,,,['led'],,
train_0046,I want a red hookah,color_search,2025-08-02 02:21:29.860980,,,,"['black', 'blue', 'red', 'green', 'purple', 'golden', 'silver']",
train_0047,Do you have any acrylic hookahs?,feature_search,2025-08-02 02:21:29.860980,,,['acrylic'],,
train_0048,Recommend me a good hookah,general_recommendation,2025-08-02 02:21:29.860980,,,,,
train_0049,I want a hookah under 3000 rupees,budget_search,2025-08-02 02:21:29.860980,,"[1000, 1500, 2000, 2500, 3000, 5000]",,,
train_0050,I need a portable hookah for travel,feature_search,2025-08-02 02:21:29.860980,,,['portable'],,
train_0051,Show me hookahs with LED lights,feature_search,2025-08-02 02:21:29.860980,,,['led'],,
