name,price,colors,plain_text_description,brand,height,color,material,base_type,weight,url
Acrylic Rocket Hookah,"Rs. 4,000.00","['Purple', 'Blue', 'Silver', 'Golden']","
 Rocket Hookah is a class hookah with a Rocket-like shape. It's a slim and tall shisha. This designer hookah has many unique qualities. 
 

Body: It is having a strong metallic body. Its base comes with an extra protecting metallic cover along with 4 metallic legs stand. The extra protecting stand is one of the best specialties of this hookah.

LED & Diffuser: Rocket hookah comes with an adjustable diffuser that prevents the water sound in the hookah session. You will get led light also with this unique shisha.

Components: The components available with this hookah are an Acrylic base, 4 Legs Metallic Stands, Metallic Plate, Long Handle Silicone Pipe,  tong, Diffuser, and bowl.

Dimensions:-Height without Chillum - 24 inchesHeight with Chillum - 26 inches
 
 Features of Rocket Hookah 
 

Height: 26 inches with chillum
Easy to Assemble and Disassemble
Easy to Clean
Strong Metallic Body
High-quality material
Generate heavy and dense smoke
Unique designer shisha

Components: Acrylic base, 4 Legs Metallic Stands, Metallic Plate, Long Handle Silicone Pipe, Diffuser, LED Light, Stylish Tong and bowl

 
 ",,,,,,,https://shopdop.in/products/acrylic-rocket-hookah
Gizmo Hookah,"Rs. 2,999.00","['Blue', 'Silver', 'Brown']","
 Why to buy it? 
 

X Function: Another model in our collection with the latest X Function technology. No pressure valve (back smoke exhales from the stem).

Base: High quality transparent glass base (easy to fit with the upper stem).

Diffuser: For more dense smoke its downstem came with a pre-fitted multi-hole diffuser.

Bowl: We provide a FREE phunnel bowl with Gizmo hookah in the same price range.

Pipe: For smooth smoke flow a sleek metal handle silicone hose is given with it.
 
 Video:- 
 












View this post on Instagram























A post shared by Hookah Order Online @ shopdop® (@shopdop.in)

 
  
   
 ",,,,,,,https://shopdop.in/products/gizmo-hookah
Sipper Hookah,Rs. 700.00,N/A,"
 
Compact size hookah
Best for portability and travel purpose
Unbreakable
Diffuser is included 
Generates good clouds
 
 ",,,,,,,https://shopdop.in/products/sipper-hookah
Afzal Hookah Flavor – 1kg. Bucket,"Rs. 1,700.00","['Pan Raas', 'Natural Spring Water', 'Brain Freeze Up', 'Grape']","
 Afzal Pan Raas is one of the most renowned flavor in India. It's 1kg bucket is among most high selling shisha flavors in big quantity.Some other flavor buckets are also available i.e. 
 - Afzal Natural Spring Water 1kg- Afzal Brain Freeze UP 1kg 
 All of these come in 1kg bucket itself. 
 Check the full list of available 1kg. pack of Afzal Flavors in Flavors list. 
 Choose your flavors and place an order. 
 If you want to chat with us Instagram @shopdop.in 
       


 
 View this guide on Instagram

 
   

  

   

   
A guide shared by Hookah Order Online @ shopdop® (@shopdop.in)
    
 ",,,,,,,https://shopdop.in/products/afzal-pan-raas-hookah-flavor-1kg-bucket
Khamoon Bowl,Rs. 250.00,N/A,"
 Ceramic Khamoon hookah chillum is a very unique and innovative designer chillum. This chillum has many unique features to enhance your hookah smoking session. 

Material: This chillum is made with strong ceramic material which allows good flavorful dense smoke flow.

No Stinky Smell: This ceramic chillum is easy to clean or wash and didn’t allow previously used flavor fragrance to ruin your ongoing shisha session.

Quantity: Alshan Khamoon chillum can hold 20-25gm of flavor in a bowl. So, you can enjoy long-lasting shisha session.

Dimensions: Height: 4 inches (approx), Width: upper: 4inches 
(approx) Lower: 1.5 inches Depth: 1 Inch
 Features 
Easy to fit with all kind of hookahs
No residue smell after wash
Easy to clean and wash
Hold up to 20-25gm of flavor
Slow-burning of coal & long-lasting flavor
Order will be processed according to color availability
 
 ",,,,,,,https://shopdop.in/products/khamoon-bowl
Oduman Ignis Revo HMD,"Rs. 3,150.00",N/A,"
 Why to get it? 

Portability: Oduman Ignis Revo heat management system is a portable device which is easy to use and carry anywhere.

Alternative: It is the perfect alternative to aluminum foil paper.

Heat Distribution: This device offers a good amount of heat distribution to flavor and captures all chemicals & ash particles.

Benefit: Now you can manage and control how much heat is applied to the flavours by opening or closing the valve.

Smoke: Oduman Ignis Revo offers a dense and smooth smoke flow which gives you an impressive experience.
 What are its key highlights? 
Produces more clean smoke
Capture ash and other gaseous particles
Offer good heat distribution 
Doubles up as a Windover
No need for foil
Made up of stainless steel material
No more mess of flavor or charcoal
 
 ",,,,,,,https://shopdop.in/products/ignis-revo-hmd
Cafe Hot Plate with strainer,"Rs. 1,099.00",N/A,"
 Electric Al Afandi hookah charcoal burner with free wooden handle strainer holder is now available on our website at a very effective cost. One of the highly appreciated hookah accessories in the market. 

Qualities: Al Afandi hot plate's power is 600watt (220V). There is one on and off switch on this coal burner. Now you can ignite so many hookah coconut charcoals at once.

Coil: It has a very high-grade non-stick coil which ignites the charcoal in a few minutes. The material used to make this burner is of high quality.

Wooden holder: One of the key features of this premium hot plate (charcoal burner) is the free wooden handle strainer coal holder. Now you will get two hookah accessories at the rate of one.

Ignition time: The average ignition time of the AL-Afandi coal burner is 8 to 12 minutes.
 Features 

Power - 600watt
Cup shape charcoal burner
On/Off switch
Easy to handle
Skidproof rubber feet
Hold approx. 12 to 15 charcoals at once
Wooden handle Strainer coal holder inside the box
Easy to use, clean and carry
Anti heat hookah accessory
Multipurpose hot plate
Premium quality coal burner
Ignition time is approx. 8 to 10 minutes
Best for use in hookah lounges, cafes and catering businessess
 
 ",,,,,,,https://shopdop.in/products/cafe-hot-plate-with-strainer
WD Hookah G 49 Shisha,"Rs. 22,999.00",N/A,"
 
Material: stainless steel 
Height: 56cm 
Diameter: 21cm (bowl) 
Weight: 3.8kg 
Closure: screw system 
Connections: 4 (thread) 1
x charcoal plate 
1x column of smoke 
1x base 
1x bowl 
1x immersion tube (L-20cm, D-1.6cm) 
1x unscrewable diffuser (16mm) 
4x hose connections (thread) 
4x valve ball (10mm, in hose connection) 
1x head adapter with 18/8 cut
 The model G49-25 from WD Hookah is a hookah with outstanding quality and many special features. All metal parts are made of high quality stainless steel and are manufactured with the highest precision. F or the bowl, we use pure crystal glass with a flower pattern cut into it. With its size of 56cm it is already one of the large hookahs and has a very good stand thanks to the wide contact surface. Other special features of this hookah include the closed chamber system, a screw-on diffuser and a hose adapter with 18/8 cut that is plugged directly into the base. In this model, the head adapter is screwed to the smoke column and the blow-out valve is integrated into the base. A great workmanship in combination with the mentioned features give this hookah its first-class quality. Cleaning / care Please use all glass parts ONLY with cold water and washing-up liquid. Simply wash the stainless steel parts with water and washing-up liquid.  
 ",,,,,,,https://shopdop.in/products/wd-hookah-g-49-shisha
Golden Crystal Hookah,"Rs. 3,500.00","['Gold', 'Rose Gold']","
 
Hookah set
Silicon Pipe (Black Color)
Premium phunnel bowl
Kloud HMD 1.0
Tong
Crystal glass base
Available in 2 stem colors, golden & rose gold
 any questions? chat with us on Instagram@shopdop.in 
 ",,,,,,,https://shopdop.in/products/golden-crystal-hookah-1
MYA Luna Hookah,"Rs. 2,650.00","['Green', 'Light Purple', 'Pink']","
 
24 inches high hookah
tong
ceramic MYA bowl
available in different colors 
leather quoted mya pipes
 
 ",,,,,,,https://shopdop.in/products/mya-luna-hookah
Dum Hookah - Portable Model,"Rs. 2,499.00",N/A,"
 What are its key highlights? 

Brand: Dum
Compact size model
Good quality glass pot
Fancy upper portion/stem
Designer bowl/chillum
Down stem with diffuser
PVC hose with Dum metal handle
Portable model
 Why to get it? 

Dum: It is a popular foreign brand which is growing in India as well. Its products are highly demanding.

Base: A compact and tiny transparent glass base come in this model which makes it more attractive.

Stem: The upper portion of Dum hookah is looked fancy. It is fully made of metallic material.

Diffuser: Dum hookah comes with a pre-fitted metallic diffuser which enables you to produce more smoke.

Bowl: Printed bowl comes with this model which makes it more elegant.

Hose: A PVC hose is available in the box. You will get a metallic Dum handle with the pipe.

Price: Perfect branded hookah in this price range.
 
 ",,,,,,,https://shopdop.in/products/dum-hookah-portable-model
Compact Da Vinci Hookah,"Rs. 3,000.00","['Blue', 'Black', 'Red']","
 What are its key features? 
 
Compact size/portable design
Elegant design
X Function technology
Lock system glass base
Silicone chillum & HMD
Silicone pipe with long metal handle
Best for tour & travel purposes
Under budget
 
 Why to buy it? 
 

Unique Stem: The upper stem of Toto hookah is made up of high-quality metal and looks very stylish.

Glass Base with Lock System: The base of this model is built up of premium glass material. You can attach the upper stem of hookah with base via lock system available in it (no need for base grommet).

Silicone Bowl: No need to buy any other bowl/chillum for this hookah. You will get a silicone bowl in the box.

HMD: Don't worry, if you are using foil paper with your previous one then that struggle is over. You will get an aluminum-made heat management device with this shisha.

Silicone Pipe: Now you can through your previous hose to any corner because a high-quality silicone pipe comes with a Toto hookah.
 
 ",,,,,,,https://shopdop.in/products/compact-da-vinci
Compact Unbreakable Hookah,Rs. 999.00,"['Pink', 'Red', 'Green']","
 

Unbreakable, because it's made up of acrylic.
Glass shisha bases have very high chances of breakage.

Acrylic Hookahsare always better.
Basically it's aPortable Hookah, after packaging it breaks down into a small box. Which can be carried anywhere.
For rough usage, it is even better.
Gives dense smoke. You can watch the video of Compact Unbreakable Hookah on YouTube as well.(read full description to check more about the product)

 og Small Acrylic Russian Tao is a mini size hookah that has many different and impressive qualities at a very low price. It is a fully acrylic hookah whose approx. height is 15 inches. 

Portable: One of the key features of this small hookah is its compact size and portability. If you are a party freak and love to enjoy outdoor hookah sessions then this model is best for you.

Components: With this hookah, you will get a German clay bowl, PVC hose, basic tong, essential grommets, acrylic base, acrylic upper stem, plastic and metallic dual charcoal plate, down stem etc.

Dimensions:Height: 15 inches

Colors: This model is available in various colors as mentioned above in key points. Order will be processed as per color availability.
 
 ",,,,,,,https://shopdop.in/products/compact-unbreakable-hookah
Acrylic Bottle Portable Tumbler Hookah with LED Light,Rs. 799.00,"['Orange', 'White', 'Green']","
 Why to buy it? 
 
Bottle shape hookah
Acrylic body
Portable model
LED Light for a premium look
Generate dense smoke
Easy to carry (good for outdoor sessions)
Silicone pipe
Acrylic Down stem with Diffuser
 
   
 Acrylic Bottle Tumbler Hookah is a portable model which is updated in our collection.  
 This is a lightweight portable shisha which helps you to enjoy smoking session anywhere. 
 

Economic Price: One of the key features of this model is its economic price range. It is considered as one of the best hookahs under Rs 1000/-

Quality: The smoke producing ability of Bottle Tumbler hookah is quite impressive. The down stem comes with a diffuser which creates more dense smoke.

LED: With this product, you will get a pre-fitted LED Light which operates with the button. You can change the color of LED easily & quickly.

Pipe: Bottle Tumbler hookah comes with a PVC come silicone pipe which allows a good smoke flow.
 
 ",,,,,,,https://shopdop.in/products/acrylic-bottle-portable-tumbler-hookah-with-led-light
Ice Crushed LED Portable Tumbler Hookah,"Rs. 1,349.00",N/A,"
 
Easy to Handle
Portable
High quality acrylic material
Pre-fitted LED lights
Battery operated LED
Produce smooth dense smoke
Ice-crushed pattern
Glass ball bearing pressure nob
Acrylic down stem with diffuser
Chillum holds up-to 20-25gm of flavor

Components:Acrylic Base with pre-fitted LED, PVC pipe, Acrylic Chillum, Metal flavor plate, Metal coal screen, Tongs
Available in different colors
Order will be processed according to color availability
 If you are looking for premium quality portable hookah in economic prize then you are landed on right product. Ice Crushed LED Portable Tumbler hookah is one of the best-selling acrylic hookah in our segment. This hookah is also tested by our officials and reviews of this hookah are very amazing. You can easily order this hookah from Shopdop. We deliver products in all over India. 

Quality:This hookah is made with high-quality acrylic material with outstanding strength and optical clarity. The ice-crushed pattern on the base is very eye-catching and looks pretty amazing.

Down Stem:Diffuser fitted down of this hookah is also made with acrylic material. A diffuser creates multiply bubbles in the water which helps to pass smooth and dense smoke while inhaling.

Portable:You can easily carry this hookah anywhere with you. The strong acrylic material used in this hookah is capable to take a severe shock.

Chillum:Chillum of this hookah is also made with acrylic material but the flavor is added in metal flavor plate so, your flavor didn’t fall in hookah base. You can also get a coal plate that can hold two coconut coal.

LED:You can get pre-fitted LED lights with this hookah, which creates an exotic environment around you during a smoking session.

Pipe:You can get high-quality PVC pipe with this tumbler hookah. This pipe provides you a smooth inhaling of smoke.

Dimensions:Hookah Height: 12inchesPipe length: 1.6m

 
 ",,,,,,,https://shopdop.in/products/ice-crushed-led-portable-tumbler-hookah
og Acrylic Tao Hookah with LED Light - X Function,"Rs. 1,449.00",N/A,"
 
What are its key features?

Inbuilt LED RGB Light
X function model
Easy to wash and clean
Anti-rust
Easy to assemble & dissemble
No residue smell after wash
Produce a smooth and dense smoke flow
Designer acrylic stem and down stem
Premium PVC material pipe

Components:Acrylic base, Germany made clay chillum, Coal Tray, Premium quality PVC pipe, Acrylic stem and down stem, Tong, led Light

 
og Acrylic Cut Design Russian Tao Hookah with LED light is one of the unique hookah fully made with acrylic material. This hookah is known for its huge dense smoke and X function technology.


Quality:Acrylic Cut Design Russian Tao Hookah components are made with high-quality acrylic material. This hookah has an anti-rust property which makes it a long-term running hookah.

X Function Technology: This updated version comes with X function technology.

LED Light: Acrylic Cut design Russian tao hookah comes with inbuilt LED light.

Stem:Acrylic Cut Design Russian Tao Hookah has an acrylic material stem and down stem which allows smooth and dense smoke flow during your smoking session.

PVC Pipe:You can get a premium PVC pipe with this hookah which provides you dense flavorful smoke. You can easily wash or clean this pipe.

Chillum:You can get German clay chillum which allows good heat flow between flavor and charcoal. This chillum didn’t allow the flavor to fall in your shisha base.

Dimension:Height: 19inchesBase diameter: 7inches


 
 ",,,,,,,https://shopdop.in/products/og-acrylic-tao-hookah-with-led-light-x-function
og Micro Hookah,"Rs. 1,449.00","['Black', 'Golden', 'Purple', 'Green', 'Red', 'Silver', 'Rose Gold', 'Blue']","
 
Easy to wash and clean
Portable hookah
Easy to assemble and dissemble
High grade metal hookah
Diffuser fitted down stem
Smoke release pressure nob
No residue smell after wash
Premium quality glass base
Get huge and dense smoke session

Components in Bag:Strong glass base, Down stem with diffuser, Premium quality silicone pipe, chillum
Order will be processed according to color availability
 
 Why to grab it? 
 

Base:The base of this hookah is made with strong glass material and the shape of the base looks elegant and attractive.

Portability:You can easily carry OG Micro hookah in the bag/box and enjoy your hookah session anytime.

Down Stem:You can get a diffuser fitted metal stem with this hookah.

Silicone Pipe:OG Micro hookah comes along with food-grade silicone pipe which allows a good smoke flow.

Chillum:You can get high-grade silicone chillum with this hookah. This chillum can absorb a huge amount of heat and didn’t melt down.
 
 ",,,,,,,https://shopdop.in/products/og-micro-hookah
